,title,text,clean_text
0,"project risk management
","project risk management includes the processes of conducting risk management planning, identification, analysis
response planning, response implementation, and monitoring risk on a project. the objectives of project risk management
are to increase the probability and/or impact of positive risks and to decrease the probability and/or impact of negative
risks, in order to optimize the chances of project success.
the project risk management processes are:
identify risks—tthe process of identifying individual project risks as well as sources of overall project risk,
‘umenting their characteristics.
11.3 perform qualitative risk analysis—the process of prioritizing individual project risks for further analysis
or action by assessing their probability of occurrence and impact as well as other characteristics.
11.4 perform quantitative risk analysis—tthe process of numerically analyzing the combined effect of identified
individual project risks and other sources of uncertainty on overall project objectives.
11.5 plan risk responses—the process of developing options, selecting strategies, and agreeing on actions 1
address overall project risk exposure, as well as to treat individual project risks.
11.6 implement risk responses—the process of implementing agreed-upon risk response plans.
11.7 monitor risks—the process of monitoring the implementation of agreed-upon risk response plans,
tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout
the project.
figure 11-1 provides an overview of the project risk management processes. the project management risk processes
are presented as discrete processes with defined interfaces while, in practice, they overlap and interact in ways that
cannot be completely detailed in this pmbok® guide.
Figure 11-1. Project Risk Management Overview
","project risk management include the process of conduct risk management planning , identification , analysisresponse planning , response implementation , and monitor risk on a project . the objective of project risk managementare to increase the probability and/or impact of positive risk and to decrease the probability and/or impact of negativerisks , in order to optimize the chance of project success.the project risk management process be : identify risks—tthe process of identify individual project risk as well a source of overall project risk , ‘ umenting their characteristics.11.3 perform qualitative risk analysis—the process of prioritize individual project risk for further analysisor action by assess their probability of occurrence and impact as well a other characteristics.11.4 perform quantitative risk analysis—tthe process of numerically analyze the combined effect of identifiedindividual project risk and other source of uncertainty on overall project objectives.11.5 plan risk responses—the process of develop option , select strategy , and agree on action 1address overall project risk exposure , as well a to treat individual project risks.11.6 implement risk responses—the process of implement agreed-upon risk response plans.11.7 monitor risks—the process of monitor the implementation of agreed-upon risk response plan , track identified risk , identify and analyze new risk , and evaluate risk process effectiveness throughoutthe project.figure 11-1 provide an overview of the project risk management process . the project management risk processesare present a discrete process with defined interface while , in practice , they overlap and interact in way thatcannot be completely detail in this pmbok guide.figure 11-1 . project risk management overview"
1,"key concepts for project risk management
","all projects are risky since they are unique undertakings with varying degrees of complexity that aim to deliver
benefits. they do this in a context of constraints and assumptions, while responding to stakeholder expectations that
may be conflicting and changing. organizations should choose to take project risk in a controlled and intentional manner
in order to create value while balancing risk and reward.
project risk management aims to identify and manage risks that are not addressed by the other project management
processes. when unmanaged, these risks have the potential to cause the project to deviate from the plan and fail to
achieve the defined project objectives. consequently, the effectiveness of project risk management is directly related
to project success.
risk exists at two levels within every project. each project contains individual risks that can affect the achievement of
project objectives. it is also important to consider the riskiness of the overall project, which arises from the combination
of individual project risks and other sources of uncertainty. project risk management processes address both levels of
risk in projects, and these are defined as follows:
@ individual project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on
one or more project objectives.
@ overall project risk is the effect of uncertainty on the project as a whole, arising from all sources of uncertainty
including individual risks, representing the exposure of stakeholders to the implications of variations in project
outcome, both positive and negative.
individual project risks can have a positive or negative effect on project objectives if they occur. project risk
management aims to exploit or enhance positive risks (opportunities) while avoiding or mitigating negative risks
(threats). unmanaged threats may result in issues or problems such as delay, cost overruns, performance shortfall,
or loss of reputation. opportunities that are captured can lead to benefits such as reduced time and cost, improved
performance, or reputation.
overall project risk can also be positive or negative. management of overall project risk aims to keep project risk
sxposure within an acceptable range by reducing drivers of negative variation, promoting drivers of positive variation,
and maximizing the probability of achieving overall project objectives.
Risks will continue to emerge during the lifetime of the project, so Project Risk Management processes should be conducted
iteratively. Risk is initially addressed during project planning by shaping the project strategy. Risk should also be monitored and
managed as the project progresses to ensure that the project stays on track and emergent risks are addressed.
In order to manage risk effectively on a particular project, the project team needs to know what level of risk exposure
is acceptable in pursuit of the project objectives. This is defined by measurable risk thresholds that reflect the risk
appetite of the organization and project stakeholders. Risk thresholds express the degree of acceptable variation around
a project objective. They are explicitly stated and communicated to the project team and reflected in the definitions of
risk imnact levels for the nroiject.
","all project be risky since they be unique undertaking with vary degree of complexity that aim to deliverbenefits . they do this in a context of constraint and assumption , while respond to stakeholder expectation thatmay be conflict and change . organization should choose to take project risk in a controlled and intentional mannerin order to create value while balance risk and reward.project risk management aim to identify and manage risk that be not address by the other project managementprocesses . when unmanaged , these risk have the potential to cause the project to deviate from the plan and fail toachieve the defined project objective . consequently , the effectiveness of project risk management be directly relatedto project success.risk exists at two level within every project . each project contain individual risk that can affect the achievement ofproject objective . it be also important to consider the riskiness of the overall project , which arise from the combinationof individual project risk and other source of uncertainty . project risk management process address both level ofrisk in project , and these be define a follow : individual project risk be an uncertain event or condition that , if it occur , have a positive or negative effect onone or more project objective . overall project risk be the effect of uncertainty on the project a a whole , arise from all source of uncertaintyincluding individual risk , represent the exposure of stakeholder to the implication of variation in projectoutcome , both positive and negative.individual project risk can have a positive or negative effect on project objective if they occur . project riskmanagement aim to exploit or enhance positive risk ( opportunity ) while avoid or mitigate negative risk ( threat ) . unmanaged threat may result in issue or problem such a delay , cost overrun , performance shortfall , or loss of reputation . opportunity that be capture can lead to benefit such a reduced time and cost , improvedperformance , or reputation.overall project risk can also be positive or negative . management of overall project risk aim to keep project risksxposure within an acceptable range by reduce driver of negative variation , promote driver of positive variation , and maximize the probability of achieve overall project objectives.risks will continue to emerge during the lifetime of the project , so project risk management process should be conductediteratively . risk be initially addressed during project planning by shape the project strategy . risk should also be monitor andmanaged a the project progress to ensure that the project stay on track and emergent risk be addressed.in order to manage risk effectively on a particular project , the project team need to know what level of risk exposureis acceptable in pursuit of the project objectives . this be define by measurable risk threshold that reflect the riskappetite of the organization and project stakeholder . risk threshold express the degree of acceptable variation arounda project objective . they be explicitly state and communicate to the project team and reflect in the definition ofrisk imnact level for the nroiject ."
2,"trends and emerging practices in project risk management
","the focus of project risk management is broadening to ensure that all types of risk are considered, and that project
risks are understood in a wider context. trends and emerging practices for project risk management include but are
not limited to:
@ non-event risks. most projects focus only on risks that are uncertain future events that may or may not occur.
examples of event-based risks include: a key seller may go out of business during the project, the customer may
change the requirement after design is complete, or a subcontractor may propose enhancements to the standard
operating processes.
there is an increasing recognition that non-event risks need to be identified and managed. there are two main
types of non-event risks:
= variability risk. uncertainty exists about some key characteristics of a planned event or activity or decision.
examples of variability risks include: productivity may be above or below target, the number of errors found
during testing may be higher or lower than expected, or unseasonal weather conditions may occur during the

construction phase.
m ambiguity risk. uncertainty exists about what might happen in the future. areas of the project where
imperfect knowledge might affect the project’s ability to achieve its objectives include: elements of the

requirement or technical solution, future developments in regulatory frameworks, or inherent systemic
complexity in the project.
Variability risks can be addressed using Monte Carlo analysis, with the range of variation reflected in probabili
distributions, followed by actions to reduce the spread of possible outcomes. Ambiguity risks are managed b
defining those areas where there is a deficit of knowledge or understanding, then filling the gap by obtainin
expert external input or benchmarking against best practices. Ambiguity is also addressed through increment.
development, prototyping, or simulation.
@ Project resilience. The existence of emergent risk is becoming clear, with a growing awareness of so-called
unknowable-unknowns. These are risks that can only be recognized after they have occurred. Emergent risks
can be tackled through developing project resilience. This requires each project to have:
@ Integrated risk management. Projects exist in an organizational context, and they may form part of a program
Or portfolio. Risk exists at each of these levels, and risks should be owned and managed at the appropriate level.
Some risks identified at higher levels will be delegated to the project team for management, and some project
risks may be escalated to higher levels if they are best managed outside the project. A coordinated approach to
enterprise-wide risk management ensures alignment and coherence in the way risk is managed across all levels.
This builds risk efficiency into the structure of programs and portfolios, providing the greatest overall value for a
given level of risk exposure.
","the focus of project risk management be broaden to ensure that all type of risk be consider , and that projectrisks be understand in a wider context . trend and emerge practice for project risk management include but arenot limited to : non-event risk . most project focus only on risk that be uncertain future event that may or may not occur.examples of event-based risk include : a key seller may go out of business during the project , the customer maychange the requirement after design be complete , or a subcontractor may propose enhancement to the standardoperating processes.there be an increase recognition that non-event risk need to be identify and manage . there be two maintypes of non-event risk : = variability risk . uncertainty exist about some key characteristic of a planned event or activity or decision.examples of variability risk include : productivity may be above or below target , the number of error foundduring testing may be high or low than expect , or unseasonal weather condition may occur during theconstruction phase.m ambiguity risk . uncertainty exist about what might happen in the future . area of the project whereimperfect knowledge might affect the project ’ s ability to achieve it objective include : element of therequirement or technical solution , future development in regulatory framework , or inherent systemiccomplexity in the project.variability risk can be address use monte carlo analysis , with the range of variation reflect in probabilidistributions , follow by action to reduce the spread of possible outcome . ambiguity risk be manage bdefining those area where there be a deficit of knowledge or understanding , then fill the gap by obtaininexpert external input or benchmarking against best practice . ambiguity be also address through increment.development , prototyping , or simulation . project resilience . the existence of emergent risk be become clear , with a grow awareness of so-calledunknowable-unknowns . these be risk that can only be recognize after they have occur . emergent riskscan be tackle through develop project resilience . this require each project to have : integrate risk management . project exist in an organizational context , and they may form part of a programor portfolio . risk exists at each of these level , and risk should be own and manage at the appropriate level.some risk identify at high level will be delegate to the project team for management , and some projectrisks may be escalate to high level if they be best manage outside the project . a coordinated approach toenterprise-wide risk management ensure alignment and coherence in the way risk be manage across all levels.this build risk efficiency into the structure of program and portfolio , provide the great overall value for agiven level of risk exposure ."
3,"tailoring considerations
","because each project is unique, it is necessary to tailor the way project risk management processes are applied.
considerations for tailoring include but are not limited to:
@ project size. does the project’s size in terms of budget, duration, scope, or team size require a more detai
approach to risk management? or is it small enough to justify a simplified risk process?
@ project complexity. is a robust risk approach demanded by high levels of innovation, new technology, commercial
arrangements, interfaces, or external dependencies that increase project complexity? or is the project simple
enough that a reduced risk process will suffice?
@ project importance. how strategically important is the project? is the level of risk increased for this project
because it aims to produce breakthrough opportunities, addresses significant blocks to organizational
performance, or involves major product innovation?
@ development approach. is this a waterfall project, where risk processes can be followed sequentially and
iteratively, or does the project follow an agile approach where risk is addressed at the start of each iteration as
well as during its execution?
tailoring of the project risk management processes to meet these considerations is part of the plan risk manageme
process, and the outcomes of tailoring decisions are recorded in the risk management plan.
","because each project be unique , it be necessary to tailor the way project risk management process be applied.considerations for tailor include but be not limit to : project size . do the project ’ s size in term of budget , duration , scope , or team size require a more detaiapproach to risk management ? or be it small enough to justify a simplified risk process ? project complexity . be a robust risk approach demand by high level of innovation , new technology , commercialarrangements , interface , or external dependency that increase project complexity ? or be the project simpleenough that a reduced risk process will suffice ? project importance . how strategically important be the project ? be the level of risk increase for this projectbecause it aim to produce breakthrough opportunity , address significant block to organizationalperformance , or involve major product innovation ? development approach . be this a waterfall project , where risk process can be follow sequentially anditeratively , or do the project follow an agile approach where risk be address at the start of each iteration aswell a during it execution ? tailoring of the project risk management process to meet these consideration be part of the plan risk managemeprocess , and the outcome of tailor decision be record in the risk management plan ."
4,"considerations for agile/adaptive environments
","high-variability environments, by definition, incur more uncertainty and risk. to address this, projects managed using
adaptive approaches make use of frequent reviews of incremental work products and cross-functional project teams to
accelerate knowledge sharing and ensure that risk is understood and managed. risk is considered when selecting the
content of each iteration, and risks will also be identified, analyzed, and managed during each iteration.
additionally, the requirements are kept as a living document that is updated regularly, and work ma
as the project progresses, based on an improved understanding of current risk exposure.
","high-variability environment , by definition , incur more uncertainty and risk . to address this , project manage usingadaptive approach make use of frequent review of incremental work product and cross-functional project team toaccelerate knowledge sharing and ensure that risk be understood and manage . risk be consider when select thecontent of each iteration , and risk will also be identify , analyze , and manage during each iteration.additionally , the requirement be keep a a living document that be update regularly , and work maas the project progress , base on an improved understanding of current risk exposure ."
5,"11.1 plan risk management
","plan risk management is the process of defining how to conduct risk management activities for a project. the key
benefit of this process is that it ensures that the degree, type, and visibility of risk management are proportionate to both
risks and the importance of the project to the organization and other stakeholders. this process is performed once or
at predefined points in the project. the inputs, tools and techniques, and outputs of the process are depicted in figure
11-2. figure 11-3 depicts the data flow diagram for the process.
figure 11-2. plan risk management: inputs, tools & techniques, and outputs
Figure 11-3. Plan Risk Management: Data Flow Diagram
The Plan Risk Management process should begin when a project is conceived and should be completed early in the
project. It may be necessary to revisit this process later in the project life cycle, for example at a major phase change, or
if the project scope changes significantly, or if a subsequent review of risk management effectiveness determines that
the Project Risk Management process requires modification.
","plan risk management be the process of define how to conduct risk management activity for a project . the keybenefit of this process be that it ensure that the degree , type , and visibility of risk management be proportionate to bothrisks and the importance of the project to the organization and other stakeholder . this process be perform once orat predefined point in the project . the input , tool and technique , and output of the process be depict in figure11-2 . figure 11-3 depict the data flow diagram for the process.figure 11-2. plan risk management : input , tool & technique , and outputsfigure 11-3 . plan risk management : data flow diagramthe plan risk management process should begin when a project be conceive and should be complete early in theproject . it may be necessary to revisit this process later in the project life cycle , for example at a major phase change , orif the project scope change significantly , or if a subsequent review of risk management effectiveness determine thatthe project risk management process require modification ."
6,"11.1.1 plan risk management: inputs
",,
7,"11.1.1.1 project charter
",,
8,"11.1.1.2 project management plan
","described in section 4.2.3.1. in planning project risk management, all approved subsidiary management plan
should be taken into consideration in order to make the risk management plan consistent with them. the methodolog
outlined in other project management plan components might influence the plan risk management process.
","describe in section 4.2.3.1. in planning project risk management , all approve subsidiary management planshould be take into consideration in order to make the risk management plan consistent with them . the methodologoutlined in other project management plan component might influence the plan risk management process ."
9,"11.1.1.3 project documents
","project documents that can be considered as inputs for this process include but are not limited to the stakehold
register as described in section 13.1.3.1. the stakeholder register contains details of the project’s stakeholders ai
provides an overview of their project roles and their attitude toward risk on this project. this is useful in determini
roles and responsibilities for managing risk on the project, as well as setting risk thresholds for the project.
","project document that can be consider a input for this process include but be not limit to the stakeholdregister a describe in section 13.1.3.1. the stakeholder register contain detail of the project ’ s stakeholder aiprovides an overview of their project role and their attitude toward risk on this project . this be useful in determiniroles and responsibility for manage risk on the project , as well a set risk threshold for the project ."
